Author,Tag,Sentence,Length,Clean_Sentence
Stoker,delay:withheld-info,"<delay type=""withheld-info"">He refrained from asking suggestions from any of his friends, for he argued that each
would recommend some place of which he had knowledge, and where he had
already acquaintances.",34,"He refrained from asking suggestions from any of his friends, for he argued that each
would recommend some place of which he had knowledge, and where he had
already acquaintances."
Stoker,atmosphere,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built."
Stoker,atmosphere,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built."
Stoker,atmosphere,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built."
Stoker,atmosphere,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built."
Stoker,amb,"<amb>It has been so long empty that some kind of absurd prejudice has grown up about
it,</amb>

and this can be best put down by its occupation--if only,"" he added
with a sly glance at Malcolmson, ""by a scholar like yourself, who wants
its quiet for a time.""

Malcolmson thought it needless to ask the agent about the ""absurd
prejudice""; he knew he would get more information, if he should require
it, on that subject from other quarters.",81,"It has been so long empty that some kind of absurd prejudice has grown up about
it,

and this can be best put down by its occupation--if only,"" he added
with a sly glance at Malcolmson, ""by a scholar like yourself, who wants
its quiet for a time.""

Malcolmson thought it needless to ask the agent about the ""absurd
prejudice""; he knew he would get more information, if he should require
it, on that subject from other quarters."
Stoker,amb,"<amb>""Not in the Judge's House!"" she said, and grew pale as she spoke.</amb>

He explained the locality of the house, saying that he did not know its
name.",31,"""Not in the Judge's House!"" she said, and grew pale as she spoke.

He explained the locality of the house, saying that he did not know its
name."
Stoker,amb,"<amb>She told him that it was so called locally because it had been many years before--how long she could not
say, as she was herself from another part of the country, but she
thought it must have been a hundred years or more--the abode of a judge
who was held in great terror on account of his harsh sentences and his
hostility to prisoners at Assizes.",69,"She told him that it was so called locally because it had been many years before--how long she could not
say, as she was herself from another part of the country, but she
thought it must have been a hundred years or more--the abode of a judge
who was held in great terror on account of his harsh sentences and his
hostility to prisoners at Assizes."
Stoker,amb,"<amb>If you were my boy--and you'll excuse me for saying it--you wouldn't sleep there a
night, not if I had to go there myself and pull the big alarm bell
that's on the roof!""</amb>

The good creature was so manifestly in earnest, and was so kindly in her intentions, that Malcolmson, although amused,
was touched.",62,"If you were my boy--and you'll excuse me for saying it--you wouldn't sleep there a
night, not if I had to go there myself and pull the big alarm bell
that's on the roof!""

The good creature was so manifestly in earnest, and was so kindly in her intentions, that Malcolmson, although amused,
was touched."
Stoker,amb,"Before going she expressed all sorts of kind wishes, and at the door
turned and said:

<amb>""And perhaps, sir, as the room is big and draughty it might be well to
have one of those big screens put round your bed at night--though truth
to tell, I would die myself if I were to be so shut in with all kinds
of--of 'things,' that put their heads round the sides or over the top, and
look on me!""</amb>

The image which she had called up was too much for her nerves and she fled incontinently.",99,"Before going she expressed all sorts of kind wishes, and at the door
turned and said:

""And perhaps, sir, as the room is big and draughty it might be well to
have one of those big screens put round your bed at night--though truth
to tell, I would die myself if I were to be so shut in with all kinds
of--of 'things,' that put their heads round the sides or over the top, and
look on me!""

The image which she had called up was too much for her nerves and she fled incontinently."
Stoker,amb,"""I'll tell you what it is, sir,"" she said,

<amb>""bogies is all kinds and sorts of things--except bogies!",21,"""I'll tell you what it is, sir,"" she said,

""bogies is all kinds and sorts of things--except bogies!"
Stoker,amb,"<amb>""Ah, you young gentlemen,"" she said, ""you
don't fear for nought, and belike you'll get all the solitude you want
here.""</amb>

She set to work with her cleaning, and by nightfall, when
Malcolmson returned from his walk--he always had one of his books to
study as he walked--he found the room swept and tidied, a fire burning
on the old hearth, the lamp lit, and the table spread for supper with
Mrs.",78,"""Ah, you young gentlemen,"" she said, ""you
don't fear for nought, and belike you'll get all the solitude you want
here.""

She set to work with her cleaning, and by nightfall, when
Malcolmson returned from his walk--he always had one of his books to
study as he walked--he found the room swept and tidied, a fire burning
on the old hearth, the lamp lit, and the table spread for supper with
Mrs."
Stoker,amb,"<amb>He suddenly looked up, his problem was still unsolved, and there was in
the air that sense of the hour before the dawn, which is so dread to
doubtful life.</amb>

The noise of the rats had ceased.",39,"He suddenly looked up, his problem was still unsolved, and there was in
the air that sense of the hour before the dawn, which is so dread to
doubtful life.

The noise of the rats had ceased."
Stoker,amb,"<amb>There, on the great high-backed carved oak chair by the right side of
the fire-place sat an enormous rat, steadily glaring at him with baleful
eyes.</amb>

He made a motion to it as though to hunt it away, but it did not
stir.",47,"There, on the great high-backed carved oak chair by the right side of
the fire-place sat an enormous rat, steadily glaring at him with baleful
eyes.

He made a motion to it as though to hunt it away, but it did not
stir."
Stoker,amb,"<amb>Before, however, he could strike it the rat, with a squeak
that sounded like the concentration of hate, jumped upon the floor, and,
running up the rope of the alarm bell, disappeared in the darkness
beyond the range of the green-shaded lamp.</amb>

Instantly, strange to say,
the noisy scampering of the rats in the wainscot began again.",60,"Before, however, he could strike it the rat, with a squeak
that sounded like the concentration of hate, jumped upon the floor, and,
running up the rope of the alarm bell, disappeared in the darkness
beyond the range of the green-shaded lamp.

Instantly, strange to say,
the noisy scampering of the rats in the wainscot began again."
Stoker,delay:withheld-info,"<delay type=""withheld-info"">All at once he stopped, as on the previous night, being overcome by a
sudden silence.",20,"All at once he stopped, as on the previous night, being overcome by a
sudden silence."
