Author,Story,Tag,Position (%)
Stoker,The Judge’s House,amb,6.37
Stoker,The Judge’s House,amb,8.42
Stoker,The Judge’s House,amb,9.3
Stoker,The Judge’s House,amb,11.32
Stoker,The Judge’s House,amb,16.03
Stoker,The Judge’s House,amb,17.54
Stoker,The Judge’s House,amb,21.5
Stoker,The Judge’s House,amb,30.67
Stoker,The Judge’s House,amb,31.74
Stoker,The Judge’s House,amb,32.92
Stoker,The Judge’s House,amb,49.67
Stoker,The Judge’s House,amb,53.62
Stoker,The Judge’s House,amb,61.84
Stoker,The Judge’s House,amb,64.21
Stoker,The Judge’s House,amb,68.22
Stoker,The Judge’s House,amb,68.47
Stoker,The Judge’s House,amb,71.35
Stoker,The Judge’s House,amb,73.45
Stoker,The Judge’s House,amb,73.74
Stoker,The Judge’s House,amb,77.24
Stoker,The Judge’s House,amb,78.72
Stoker,The Judge’s House,amb,80.69
Stoker,The Judge’s House,amb,87.27
Stoker,The Judge’s House,amb,87.79
Stoker,The Judge’s House,atmosphere,3.06
Stoker,The Judge’s House,atmosphere,3.62
Stoker,The Judge’s House,atmosphere,3.93
Stoker,The Judge’s House,atmosphere,3.95
Stoker,The Judge’s House,atmosphere,45.39
Stoker,The Judge’s House,atmosphere,67.47
Stoker,The Judge’s House,atmosphere,70.42
Stoker,The Judge’s House,atmosphere,79.94
Stoker,The Judge’s House,atmosphere,81.88
Stoker,The Judge’s House,atmosphere,96.0
Stoker,The Judge’s House,delay:withheld-info,0.8
Stoker,The Judge’s House,delay:withheld-info,42.89
Stoker,The Judge’s House,delay:withheld-info,44.79
Stoker,The Judge’s House,delay:withheld-info,49.0
Stoker,The Judge’s House,delay:withheld-info,51.79
Stoker,The Judge’s House,delay:withheld-info,58.56
Stoker,The Judge’s House,delay:withheld-info,62.48
Stoker,The Judge’s House,delay:withheld-info,75.36
Stoker,The Judge’s House,delay:withheld-info,79.19
Stoker,The Judge’s House,delay:withheld-info,84.78
